ProductID,ProductName,Category,UnitCost,UnitPrice
1,Margherita,Pizza,2.1,8.9
2,Diavola,Pizza,2.8,10.9
3,Prosciutto e Funghi,Pizza,3.1,11.5
4,Quattro Formaggi,Pizza,3.4,11.9
5,Capricciosa,Pizza,3.3,11.9
6,Napoli,Pizza,2.6,10.5
7,Vegetariana,Pizza,2.9,10.9
8,Bufala DOP,Pizza,4.6,14.5
9,Tartufo,Pizza,5.4,16.9
10,Frutti di Mare,Pizza,5.1,15.9
11,Calzone Classico,Pizza,3.2,11.9
12,Pizza del Giorno,Pizza,3.6,12.5
13,Bruschetta,Starter,1.1,5.5
14,Garlic Bread,Starter,0.8,4.5
15,Arancini,Starter,1.6,6.9
16,Antipasto Misto,Starter,3.2,9.9
17,Spaghetti Carbonara,Pasta,2.4,10.9
18,Lasagne,Pasta,2.9,11.5
19,Penne Arrabbiata,Pasta,1.9,9.9
20,Insalata Caprese,Salad,2.2,7.9
21,Caesar Salad,Salad,2.0,8.5
22,Tiramisu,Dessert,1.3,5.9
23,Panna Cotta,Dessert,1.1,5.5
24,Gelato,Dessert,0.9,4.5
25,Soft Drink 33cl,Beverage,0.4,2.8
26,Water 50cl,Beverage,0.2,2.0
27,Beer 33cl,Beverage,0.8,3.9
28,House Wine Glass,Beverage,0.9,4.5
29,Espresso,Beverage,0.3,1.9
30,Limoncello,Beverage,0.7,4.0
